Time,V_Waste,V_Biogas,V_Biomass,V_Solar,V_Hydro,V_Wind,V_Cogen,P_Diesel
00:30,0.4263,0.1939,0.5153,0,0.2862,0.245,0.2083,0.244141216
01:00,0.4273,0.1905,0.5154,0,0.2862,0.2507,0.1968,0.244141216
01:30,0.4294,0.1891,0.5167,0,0.2862,0.2538,0.1893,0.244141216
02:00,0.4282,0.1878,0.518,0,0.2862,0.2595,0.1878,0.244141216
02:30,0.4288,0.186,0.518,0,0.2862,0.264,0.1903,0.244141216
03:00,0.4259,0.1857,0.5183,0,0.2862,0.2707,0.1956,0.244141216
03:30,0.4273,0.1842,0.5179,0,0.2862,0.2699,0.2064,0.244141216
04:00,0.426,0.1829,0.5186,0,0.2862,0.2705,0.2142,0.244141216
04:30,0.4248,0.181,0.5189,0,0.2862,0.2696,0.2237,0.244141216
05:00,0.4198,0.1804,0.5182,0,0.2862,0.2669,0.2301,0.244141216
05:30,0.4162,0.1796,0.5174,0,0.2862,0.2635,0.2304,0.244141216
06:00,0.411,0.1787,0.5155,0.0002,0.2862,0.2587,0.2277,0.244141216
06:30,0.4104,0.1752,0.5137,0.0066,0.2862,0.2571,0.2221,0.244141216
07:00,0.409,0.1763,0.5147,0.0351,0.2862,0.2537,0.2212,0.244141216
07:30,0.4099,0.1789,0.5173,0.0892,0.2862,0.2412,0.2269,0.244141216
08:00,0.4083,0.1835,0.5187,0.1589,0.2862,0.2192,0.2368,0.244141216
08:30,0.4099,0.1889,0.5176,0.2335,0.2862,0.2114,0.2517,0.244141216
09:00,0.4122,0.2009,0.5142,0.3034,0.2862,0.2155,0.267,0.244141216
09:30,0.4254,0.2314,0.5137,0.3655,0.2862,0.217,0.3054,0.244141216
10:00,0.4368,0.2594,0.5151,0.4174,0.2862,0.2161,0.3307,0.244141216
10:30,0.4535,0.2691,0.5146,0.458,0.2862,0.2078,0.3382,0.244141216
11:00,0.4604,0.2757,0.5152,0.4875,0.2862,0.1967,0.3382,0.244141216
11:30,0.4697,0.28,0.5172,0.5067,0.2862,0.1868,0.3289,0.244141216
12:00,0.4794,0.2841,0.516,0.5135,0.2862,0.1765,0.3186,0.244141216
12:30,0.4843,0.2859,0.5173,0.5105,0.2862,0.168,0.3202,0.244141216
13:00,0.4844,0.2864,0.5187,0.5001,0.2862,0.1591,0.3178,0.244141216
13:30,0.4777,0.2864,0.5179,0.483,0.2862,0.1501,0.3029,0.244141216
14:00,0.4774,0.2859,0.516,0.4553,0.2862,0.145,0.297,0.244141216
14:30,0.4701,0.2846,0.517,0.4186,0.2862,0.1432,0.2881,0.244141216
15:00,0.4694,0.285,0.5168,0.3753,0.2862,0.1431,0.2825,0.244141216
15:30,0.4602,0.2851,0.5174,0.3207,0.2862,0.1423,0.2852,0.244141216
16:00,0.4571,0.2855,0.5185,0.2608,0.2862,0.1401,0.2872,0.244141216
16:30,0.4517,0.2855,0.5176,0.1943,0.2862,0.1373,0.2736,0.244141216
17:00,0.4381,0.2847,0.518,0.1227,0.2862,0.1357,0.2593,0.244141216
17:30,0.4294,0.2835,0.5187,0.0606,0.2862,0.1357,0.2561,0.244141216
18:00,0.4223,0.284,0.519,0.0196,0.2862,0.1395,0.2494,0.244141216
18:30,0.4188,0.2815,0.5189,0.0027,0.2862,0.1472,0.2442,0.244141216
19:00,0.4196,0.2791,0.5185,0,0.2862,0.161,0.2366,0.244141216
19:30,0.4265,0.2776,0.5174,0,0.2862,0.1751,0.2357,0.244141216
20:00,0.4265,0.279,0.5194,0,0.2862,0.1918,0.2351,0.244141216
20:30,0.4277,0.2766,0.5179,0,0.2862,0.2055,0.2405,0.244141216
21:00,0.4279,0.276,0.5189,0,0.2862,0.2147,0.2413,0.244141216
21:30,0.4299,0.2735,0.52,0,0.2862,0.2158,0.2405,0.244141216
22:00,0.4313,0.2716,0.5204,0,0.2862,0.2212,0.2386,0.244141216
22:30,0.43,0.2313,0.5181,0,0.2862,0.2248,0.2145,0.244141216
23:00,0.4282,0.2141,0.5175,0,0.2862,0.2283,0.2105,0.244141216
23:30,0.427,0.2081,0.5168,0,0.2862,0.2322,0.2121,0.244141216
0:00,0.4252,0.2052,0.5168,0,0.2862,0.2378,0.2157,0.244141216
